point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
176,251.246859181,5.173441569,1.534000000,3.639441569,1,center,constraint_reconstruction
177,252.000000000,5.139665415,1.514800534,3.624864881,1,center,constraint_reconstruction
178,253.247445095,5.088900136,1.483000000,3.605900136,1,center,constraint_reconstruction
179,254.000000000,5.060935175,1.463809478,3.597125697,1,center,constraint_reconstruction
180,255.247406345,5.018553284,1.432000000,3.586553284,1,center,constraint_reconstruction
181,256.000000000,4.994940775,1.412800993,3.582139782,1,center,constraint_reconstruction
182,257.246586677,4.958679095,1.381000000,3.577679095,1,center,constraint_reconstruction
183,258.000000000,4.946031332,1.369698581,3.576332750,1,center,constraint_reconstruction
184,259.246547927,4.926999915,1.351000000,3.575999915,1,center,constraint_reconstruction
185,260.000000000,4.871526538,1.294884260,3.576642278,1,center,constraint_reconstruction
186,261.247133841,4.780837083,1.202000000,3.578837083,1,center,constraint_reconstruction
187,262.000000000,4.688506220,1.107889907,3.580616314,1,center,constraint_reconstruction
188,263.247095091,4.536121555,0.952000000,3.584121555,1,center,constraint_reconstruction
189,264.000000000,4.446556468,0.860143821,3.586412646,1,center,constraint_reconstruction
190,265.247056340,4.298364272,0.708000000,3.590364272,1,center,constraint_reconstruction
191,266.000000000,4.215654773,0.622915718,3.592739055,1,center,constraint_reconstruction
192,267.247017590,4.078571247,0.482000000,3.596571247,1,center,constraint_reconstruction
193,268.000000000,4.097706646,0.498943754,3.598762891,1,center,constraint_reconstruction
194,269.246822830,4.129145463,0.527000000,3.602145463,1,center,constraint_reconstruction
195,270.000000000,4.069626284,0.465614871,3.604011412,1,center,constraint_reconstruction
196,271.246784080,3.970790377,0.364000000,3.606790377,1,center,constraint_reconstruction
197,272.000000000,3.983951364,0.375675073,3.608276291,1,center,constraint_reconstruction
198,273.246745330,4.005418637,0.395000000,3.610418637,1,center,constraint_reconstruction
199,274.000000000,4.024985113,0.413455097,3.611530016,1,center,constraint_reconstruction
200,275.246706579,4.057079761,0.444000000,3.613079761,1,center,constraint_reconstruction
201,276.000000000,4.073672236,0.459814529,3.613857707,1,center,constraint_reconstruction
202,277.247292494,4.100901974,0.486000000,3.614901974,1,center,constraint_reconstruction
203,278.000000000,4.117212047,0.501807164,3.615404883,1,center,constraint_reconstruction
204,279.247253743,4.144047420,0.528000000,3.616047420,1,center,constraint_reconstruction
205,280.000000000,4.160154121,0.543814153,3.616339968,1,center,constraint_reconstruction
206,281.246434075,4.186685842,0.570000000,3.616685842,1,center,constraint_reconstruction
207,282.000000000,4.205291928,0.588462723,3.616829205,1,center,constraint_reconstruction
208,283.246395325,4.235974237,0.619000000,3.616974237,1,center,constraint_reconstruction
209,284.000000000,4.246945430,0.629924068,3.617021363,1,center,constraint_reconstruction
210,285.246981239,4.265045657,0.648000000,3.617045657,1,center,constraint_reconstruction
211,286.000000000,4.262780548,0.645740900,3.617039648,1,center,constraint_reconstruction
212,287.246942489,4.259005446,0.642000000,3.617005446,1,center,constraint_reconstruction
213,288.000000000,4.256719191,0.639740784,3.616978407,1,center,constraint_reconstruction
214,289.246903738,4.252929629,0.636000000,3.616929630,1,center,constraint_reconstruction
215,290.000000000,4.251019863,0.634117223,3.616902640,1,center,constraint_reconstruction
216,291.246864988,4.247865309,0.631000000,3.616865309,1,center,constraint_reconstruction
217,292.000000000,4.245590121,0.628741257,3.616848865,1,center,constraint_reconstruction
218,293.247450902,4.241831834,0.625000000,3.616831834,1,center,constraint_reconstruction
219,294.000000000,4.239567686,0.622741427,3.616826259,1,center,constraint_reconstruction
220,295.246631234,4.235821816,0.619000000,3.616821816,1,center,constraint_reconstruction
221,296.000000000,4.233557355,0.616739850,3.616817506,1,center,constraint_reconstruction
222,297.246592484,4.229801633,0.613000000,3.616801633,1,center,constraint_reconstruction
223,298.000000000,4.243713142,0.626933957,3.616779185,1,center,constraint_reconstruction
224,299.247178398,4.266711655,0.650000000,3.616711655,1,center,constraint_reconstruction
225,300.000000000,4.279440217,0.662798215,3.616642002,1,center,constraint_reconstruction
226,301.247139648,4.300466770,0.684000000,3.616466770,1,center,constraint_reconstruction
227,302.000000000,4.321768453,0.705456936,3.616311518,1,center,constraint_reconstruction
228,303.247100897,4.356957867,0.741000000,3.615957867,1,center,constraint_reconstruction
229,304.000000000,4.372481719,0.756811188,3.615670532,1,center,constraint_reconstruction
230,305.247062147,4.398056024,0.783000000,3.615056024,1,center,constraint_reconstruction
231,306.000000000,4.380265331,0.765680743,3.614584588,1,center,constraint_reconstruction
232,307.246867387,4.350621011,0.737000000,3.613621011,1,center,constraint_reconstruction
233,308.000000000,4.352171923,0.739259442,3.612912482,1,center,constraint_reconstruction
234,309.246828637,4.354515501,0.743000000,3.611515501,1,center,constraint_reconstruction
235,310.000000000,4.339966557,0.729442653,3.610523904,1,center,constraint_reconstruction
236,311.246789886,4.315628937,0.707000000,3.608628937,1,center,constraint_reconstruction
237,312.000000000,4.307924030,0.700597590,3.607326440,1,center,constraint_reconstruction
238,313.246751136,4.294911037,0.690000000,3.604911037,1,center,constraint_reconstruction
239,314.000000000,4.288032764,0.684728802,3.603303962,1,center,constraint_reconstruction
240,315.247337050,4.276416644,0.676000000,3.600416644,1,center,constraint_reconstruction
241,316.000000000,4.293761091,0.695193277,3.598567814,1,center,constraint_reconstruction
