point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
210,290.000000000,4.526958620,0.634117223,3.892841397,1,local,constraint_reconstruction
211,291.246864988,4.523840578,0.631000000,3.892840578,1,local,constraint_reconstruction
212,292.000000000,4.521583048,0.628741257,3.892841791,1,local,constraint_reconstruction
213,293.247450902,4.517846537,0.625000000,3.892846537,1,local,constraint_reconstruction
214,294.000000000,4.515592626,0.622741427,3.892851199,1,local,constraint_reconstruction
215,295.246631234,4.511862276,0.619000000,3.892862276,1,local,constraint_reconstruction
216,296.000000000,4.509611434,0.616739850,3.892871584,1,local,constraint_reconstruction
217,297.246592484,4.505892071,0.613000000,3.892892071,1,local,constraint_reconstruction
218,298.000000000,4.519842394,0.626933957,3.892908437,1,local,constraint_reconstruction
219,299.247178398,4.542943121,0.650000000,3.892943121,1,local,constraint_reconstruction
220,300.000000000,4.555767879,0.662798215,3.892969663,1,local,constraint_reconstruction
221,301.247139648,4.577023869,0.684000000,3.893023869,1,local,constraint_reconstruction
222,302.000000000,4.598520495,0.705456936,3.893063560,1,local,constraint_reconstruction
223,303.247100897,4.634141309,0.741000000,3.893141309,1,local,constraint_reconstruction
224,304.000000000,4.650006688,0.756811188,3.893195500,1,local,constraint_reconstruction
225,305.247062147,4.676296583,0.783000000,3.893296583,1,local,constraint_reconstruction
226,306.000000000,4.659043636,0.765680743,3.893362893,1,local,constraint_reconstruction
227,307.246867387,4.630478708,0.737000000,3.893478708,1,local,constraint_reconstruction
228,308.000000000,4.632807601,0.739259442,3.893548160,1,local,constraint_reconstruction
229,309.246828637,4.636656423,0.743000000,3.893656423,1,local,constraint_reconstruction
230,310.000000000,4.623152565,0.729442653,3.893709912,1,local,constraint_reconstruction
231,311.246789886,4.600768580,0.707000000,3.893768580,1,local,constraint_reconstruction
232,312.000000000,4.594370924,0.700597590,3.893773334,1,local,constraint_reconstruction
233,313.246751136,4.583715106,0.690000000,3.893715106,1,local,constraint_reconstruction
234,314.000000000,4.578350819,0.684728802,3.893622017,1,local,constraint_reconstruction
235,315.247337050,4.569351459,0.676000000,3.893351459,1,local,constraint_reconstruction
236,316.000000000,4.588288591,0.695193277,3.893095314,1,local,constraint_reconstruction
237,317.247298300,4.619492895,0.727000000,3.892492895,1,local,constraint_reconstruction
238,318.000000000,4.662671998,0.770674598,3.891997400,1,local,constraint_reconstruction
239,319.246478632,4.733935214,0.843000000,3.890935214,1,local,constraint_reconstruction
240,320.000000000,4.761007427,0.870880831,3.890126596,1,local,constraint_reconstruction
241,321.246439882,4.805499447,0.917000000,3.888499447,1,local,constraint_reconstruction
242,322.000000000,4.809608612,0.922273376,3.887335236,1,local,constraint_reconstruction
243,323.247025796,4.816118312,0.931000000,3.885118312,1,local,constraint_reconstruction
244,324.000000000,4.886540770,1.002910430,3.883630340,1,local,constraint_reconstruction
245,325.246987045,5.002969106,1.122000000,3.880969106,1,local,constraint_reconstruction
246,326.000000000,5.092438816,1.213116333,3.879322483,1,local,constraint_reconstruction
247,327.246948295,5.240646982,1.364000000,3.876646982,1,local,constraint_reconstruction
248,328.000000000,5.305114786,1.429893301,3.875221485,1,local,constraint_reconstruction
249,329.246909545,5.412386464,1.539000000,3.873386464,1,local,constraint_reconstruction
250,330.000000000,5.594055654,1.721194515,3.872861139,1,local,constraint_reconstruction
251,331.247495459,5.896283966,2.023000000,3.873283966,1,local,constraint_reconstruction
252,332.000000000,6.079889021,2.205180763,3.874708258,1,local,constraint_reconstruction
253,333.246675791,6.386454626,2.507000000,3.879454626,1,local,constraint_reconstruction
254,334.000000000,6.526497946,2.642224316,3.884273630,1,local,constraint_reconstruction
255,335.246637040,6.762027021,2.866000000,3.896027021,1,local,constraint_reconstruction
256,336.000000000,6.852225390,2.946234710,3.905990681,1,local,constraint_reconstruction
257,337.246598290,7.006779108,3.079000000,3.927779108,1,local,constraint_reconstruction
258,338.000000000,7.179586545,3.234908479,3.944678066,1,local,constraint_reconstruction
259,339.247184204,7.472248294,3.493000000,3.979248294,1,local,constraint_reconstruction
260,340.000000000,7.847793284,3.843442543,4.004350742,1,local,constraint_reconstruction
261,341.247145454,8.476938150,4.424000000,4.052938150,1,local,constraint_reconstruction
262,342.000000000,8.620427050,4.534295328,4.086131722,1,local,constraint_reconstruction
263,343.247106703,8.863651972,4.717000000,4.146651972,1,local,constraint_reconstruction
264,344.000000000,9.001860551,4.816799263,4.185061288,1,local,constraint_reconstruction
265,345.246287036,9.231478956,4.982000000,4.249478956,1,local,constraint_reconstruction
266,346.000000000,9.313727839,5.027963026,4.285764813,1,local,constraint_reconstruction
267,347.246872950,9.441073228,5.104000000,4.337073228,1,local,constraint_reconstruction
268,348.000000000,9.503074641,5.145799361,4.357275280,1,local,constraint_reconstruction
269,348.858419066,9.560000000,5.193442542,4.366557458,1,local,constraint_reconstruction
270,349.246834199,9.579156220,5.215000000,4.364156220,1,local,constraint_reconstruction
271,350.000000000,9.604597384,5.255295151,4.349302233,1,local,constraint_reconstruction
272,351.246795449,9.624854258,5.322000000,4.302854258,1,local,constraint_reconstruction
273,352.000000000,9.708096116,5.440218482,4.267877634,1,local,constraint_reconstruction
274,353.247381363,9.839503638,5.636000000,4.203503638,1,local,constraint_reconstruction
275,354.000000000,9.733242263,5.568639327,4.164602936,1,local,constraint_reconstruction
276,355.247342613,9.559889715,5.457000000,4.102889715,1,local,constraint_reconstruction
277,356.000000000,9.419402619,5.350078831,4.069323788,1,local,constraint_reconstruction
278,357.246522945,9.194162104,5.173000000,4.021162104,1,local,constraint_reconstruction
